APN,PROJECT NUMBER,NAME,DEVELOPMENT STAGE,CONSTRUCTION TYPE,SITE ADDRESS,SITE  COUNCIL DISTRICT,SITE #,SITE COMMUNITY,SITE UNITS,PROJECT TOTAL UNITS,HOUSING TYPE,SUPPORTIVE HOUSING,SH UNITS PER SITE,DATE FUNDED,LAHD FUNDED,LEVERAGE,TAX EXEMPT CONDUIT BOND,TDC,IN-SERVICE DATE,DEVELOPER,MANAGEMENT COMPANY,CONTACT PHONE,PHOTO,JOBS,PROJECT SUMMARY URL,CONTRACT NUMBERS,DATE STAMP,SITE LONGITUDE,SITE LATITUDE,GPS_COORDS ON MAP
2218021034,11-118659,FICKETT TOWERS,In-Service,ACQUISITION + REHAB,"14801 W SHERMAN WAY  VAN NUYS, CA 91405",6,1,VAN NUYS,200,200,SENIORS,Yes,193,09/19/2012,0,5648228,15500000,21148228,2013,"Camino Mercado Partners, L.P.",EDGEWOOD MANAGEMENT CORPORATION,(301) 562-1600,click here (http://hcidapp.lacity.org/mpphotos/11-118659/Photo/Website/Fickett.png),,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=11-118659&LutSiteCD=1),,2024-08-05T00:00:00.000,-118.45577,34.2014,POINT (-118.45577 34.2014)
5153024027,18-124748,HARTFORD VILLA APARTMENTS,In-Service,NEW CONSTRUCTION,"459 S HARTFORD AVE  LOS ANGELES, CA 90017",1,1,NULL,101,101,SPECIAL NEEDS,Yes,100,11/08/2018,15637664,32502500,0,48140164,2021,Single Room Occupancy Housing Corporation,SINGLE ROOM OCCUPANCY HOUSING CORPORATION,(213) 229-9640,click here (http://hcidapp.lacity.org/mpphotos/18-124748/Photo/Website/hartford.JPG),404,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=18-124748&LutSiteCD=1),"C-132337,C-132338",2024-08-05T00:00:00.000,-118.2638,34.056639,POINT (-118.2638 34.056639)
6117019016,40067,ROYALS APARTMENTS,In-Service,REHAB,"717 W EL SEGUNDO BLVD  Gardena, CA 90247",15,1,HARBOR GATEWAY,33,115,FAMILY,No,0,05/06/2005,1100000,13039479,0,14139479,2006,"Preservation Partners Management Group, Inc.",PRESERVATION PARTNERS MANAGEMENT GROUP,(310) 802-6673,click here (http://hcidapp.lacity.org/mpphotos/040067/Photo/Website/CD%2015%20-%20The%20Royals.jpg),49,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=040067&LutSiteCD=1),C-108105,2024-08-05T00:00:00.000,-118.28774,33.91659,POINT (-118.28774 33.91659)
2263009024,13-119143,ORANGE WOOD COURT,In-Service,ACQUISITION + REHAB,"5050 N SEPULVEDA BLVD  Sherman Oaks, CA 91403",4,1,SHERMAN OAKS,92,92,FAMILY,No,0,06/28/2013,0,7321491,9334100,16655591,2014,"Community Preservation Partners, LLC",PROFESSIONAL PROPERTY MANAGEMENT LLC,(815) 397-8827,click here (http://hcidapp.lacity.org/mpphotos/13-119143/Photo/Website/orangewood%20court.png),61,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=13-119143&LutSiteCD=1),,2024-08-05T00:00:00.000,-118.46592,34.16289,POINT (-118.46592 34.16289)
5208019043,05-117217,LEXINGTON APARTMENTS A/B,In-Service,REHAB,"3035 N SIERRA ST  Los Angeles, CA 90031",14,1,LINCOLN HEIGHTS,251,251,FAMILY,No,0,12/28/2005,0,6771719,10247566,17019285,2006,"1755 EFM 2, LLC","ALPHA PROPERTY MANAGEMENT, INC.",(323) 231-4174,click here (http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png),,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=05-117217&LutSiteCD=1),,2024-08-05T00:00:00.000,-118.20122,34.08174,POINT (-118.20122 34.08174)
2350006042,10-117669,NOHO SENIOR VILLAS,In-Service,NEW CONSTRUCTION,"5525 N KLUMP AVE 1-49  North Hollywood, CA 91601",2,1,NORTH HOLLYWOOD,49,49,SENIORS,Yes,30,05/05/2011,4932825,12092852,0,17025677,2012,"NoHo Senior Villas, L.P.",THE JOHN STEWART COMPANY,(213) 787-2700,click here (http://hcidapp.lacity.org/mpphotos/10-117669/Photo/Website/10-117669.JPG),139,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=10-117669&LutSiteCD=1),C-118777,2024-08-05T00:00:00.000,-118.37542,34.17064,POINT (-118.37542 34.17064)
5148025008,30156,RAINBOW APARTMENTS,In-Service,NEW CONSTRUCTION,"645 S SAN PEDRO ST  Los Angeles, CA 90014",14,1,WHOLESALE DISTRICT,89,89,SPECIAL NEEDS,Yes,87,10/29/2004,3500000,13279250,0,16779250,2006,"RAINBOW APARTMENTS, L.P.",SRHT PROPERTY MGMT CO.,(213) 683-0522 x114,click here (http://hcidapp.lacity.org/mpphotos/030156/Photo/Website/CD%209%20-%20Rainbow%20Apts..jpg),98,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=030156&LutSiteCD=1),"C-106578,C-107587",2024-08-05T00:00:00.000,-118.24638,34.04138,POINT (-118.24638 34.04138)
5075037024,80053,PROFESSIONAL HSG. & DEV. APTS. (PH & D) (SITE 4),In-Service,REHAB,"1745 W 20TH ST  Los Angeles, CA 90007",1,4,WEST ADAMS,0,83,FAMILY,No,0,10/07/2010,4575000,10250907,0,14825907,2011,Gubb and Barshay,LITTLE TOKYO SERVICE CENTER,(213) 434-1645,click here (http://hcidapp.lacity.org/mpphotos/080053/Photo/Website%20Site4/PH&D%201400%20Kenmore.jpg),45,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=080053&LutSiteCD=4),C-117961,2024-08-05T00:00:00.000,-118.29585,34.03824,POINT (-118.29585 34.03824)
5072029014,18-125455,PATH VILLAS MONTCLAIR/GRAMERCY(RECAP-SITE 2 OF 2),In-Service,ACQUISITION + REHAB,"3317 W WASHINGTON BLVD  Los Angeles, CA 90018",10,1,VICTORIA PARK,17,17,SPECIAL NEEDS,Yes,16,12/26/2019,3029558,7625962,693014,11348534,2022,PATH Ventures,THE JOHN STEWART COMPANY,(213) 833-1860,click here (http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png),,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=18-125455&LutSiteCD=1),C-101200,2024-08-05T00:00:00.000,-118.32068,34.04006,POINT (-118.32068 34.04006)
5094023027,18-125513,SERENITY (FKA 923-937 KENMORE AVE),In-Service,NEW CONSTRUCTION,"923 S KENMORE AVE  Los Angeles, CA 90006",10,1,KOREATOWN,75,75,SPECIAL NEEDS,Yes,74,03/17/2021,10562521,36515046,0,47077567,2023,Domus GP LLC,"DOMUS MANAGEMENT COMPANY, INC",(209) 365-9010 x104,click here (http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png),355,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=18-125513&LutSiteCD=1),C-137993,2024-08-05T00:00:00.000,-118.29665,34.05512,POINT (-118.29665 34.05512)
5055026019,07-117237,QUEEN APARTMENTS,In-Service,REHAB,"2620 S ORCHARD AVE  Los Angeles, CA 90007",9,1,UNIVERSITY PARK,16,96,FAMILY,Yes,0,04/27/2007,0,10271751,7300000,17571751,2008,N/A,THE JOHN STEWART COMPANY,(213) 833-1860,click here (http://hcidapp.lacity.org/mpphotos/07-117237/Photo/Website/Queens%20Apt%20(site1)%202620%20Orchid.png),,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=07-117237&LutSiteCD=1),,2024-08-05T00:00:00.000,-118.28731,34.032,POINT (-118.28731 34.032)
5073007020,70035,ST. ANDREWS,In-Service,REHAB,"1511 S ST ANDREWS PL 1-43  Los Angeles, CA 90019",10,1,HARVARD HEIGHTS,43,43,FAMILY,No,0,10/19/2007,1075000,7554360,0,8629360,2009,"JAMBOREE HOUSING CORPORATION,",PRESERVATION PARTNERS MANAGEMENT GROUP,(310) 802-6673,click here (http://hcidapp.lacity.org/mpphotos/070035/Photo/Website/CD%2010%20-%20St.%20Andrews%20-%20070035.png),39,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=070035&LutSiteCD=1),C-112518,2024-08-05T00:00:00.000,-118.31188,34.04492,POINT (-118.31188 34.04492)
6042028005,23-130505,CENTRAL AVENUE APARTMENTS (SITE 4),Development,NEW CONSTRUCTION,"8921 S CENTRAL AVE  Los Angeles, CA 90002",9,4,GREEN MEADOWS,0,59,SPECIAL NEEDS,Yes,0,04/09/2024,6221279,0,0,6221279,Development,N/A,N/A,N/A,click here (http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png),,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=23-130505&LutSiteCD=4),"C-145238,C-145362",2024-08-05T00:00:00.000,-118.25661,33.95496,POINT (-118.25661 33.95496)
2530008901,18-124725,SUMMIT VIEW APARTMENTS,In-Service,NEW CONSTRUCTION,"11800 W KAGEL CANYON ST  Sylmar, CA 91342",7,1,LAKEVIEW TERRACE,49,49,SPECIAL NEEDS,Yes,48,12/19/2019,10560000,29346893,2900000,42806893,2023,Many Mansions,MANY MANSIONS,(805) 496-4948 x126,click here (http://hcidapp.lacity.org/mpphotos/18-124725/Photo/Website/Summit%20View.JPG),360,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=18-124725&LutSiteCD=1),C-134699,2024-08-05T00:00:00.000,-118.38929,34.27319,POINT (-118.38929 34.27319)
5535012015,13-119154,HOLLYWOODLAND (SITE 5),In-Service,ACQUISITION + REHAB,"5169 W MARATHON ST  Los Angeles, CA 90038",13,5,MELROSE,18,82,SENIORS,No,0,11/21/2013,0,7946357,10500000,18446357,2014,Steele Properties LLC,"MONROE GROUP, LRD",(303) 322-8888,click here (http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png),53,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=13-119154&LutSiteCD=5),,2024-08-05T00:00:00.000,-118.31084,34.085,POINT (-118.31084 34.085)
5078028023,15-122038,PILGRIM TOWER APTS.,In-Service,ACQUISITION + REHAB,"1207 S VERMONT AVE  Los Angeles, CA 90006",1,1,KOREATOWN,111,111,SENIORS,No,0,09/22/2015,0,35561059,0,35561059,2018,Brookmore Apartment Corporation,CARING HOUSING MINISTRIES,(626) 300-2440,click here (http://hcidapp.lacity.org/mpphotos/15-122038/Photo/Website/150_2866.png),,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=15-122038&LutSiteCD=1),,2024-08-05T00:00:00.000,-118.29184,34.04891,POINT (-118.29184 34.04891)
5502020005,80050,ALEXANDRIA HOUSE APTS.,In-Service,REHAB,"510 S ALEXANDRIA AVE 1-20  Los Angeles, CA 90020",10,1,KOREATOWN,16,16,SPECIAL NEEDS,Yes,7,11/21/2008,800000,5928306,0,6728306,2010,"HOLLYWOOD COMMUNITY HOUSING CORP.,",BARKER MANAGEMENT INC.,(714) 533-3450,click here (http://hcidapp.lacity.org/mpphotos/080050/Photo/Website/Alexandria%20House.jpg),36,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=080050&LutSiteCD=1),C-114811,2024-08-05T00:00:00.000,-118.29775,34.06506,POINT (-118.29775 34.06506)
6053006926,10-117596,BROADWAY VILLAS,In-Service,NEW CONSTRUCTION,"9413 S SPRING ST 101-116  Los Angeles, CA 90003",8,1,VERMONT VISTA,49,49,SENIORS,No,0,10/03/2013,4500000,9221011,1726432,15447443,2015,"AMCAL Multi-Housing, Inc",CIRRUS ASSET MANAGEMENT INC,(818) 706-0694,click here (http://hcidapp.lacity.org/mpphotos/10-117596/Photo/Website/Broadway%20Villas.jpg),109,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=10-117596&LutSiteCD=1),C-123022,2024-08-05T00:00:00.000,-118.2769,33.95052,POINT (-118.2769 33.95052)
5156006022,18-125507,HIFI COLLECTIVE (FKA TEMPLE VIEW),In-Service,NEW CONSTRUCTION,"3200 W TEMPLE ST  Los Angeles, CA 90026",13,1,HISTORIC FILIPINOTOWN,64,64,SPECIAL NEEDS,Yes,58,06/30/2020,12760000,23020258,0,35780258,2022,LINC Housing Corporation,THE JOHN STEWART COMPANY,(213) 787-2710,click here (http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png),285,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=18-125507&LutSiteCD=1),C-135931,2024-08-05T00:00:00.000,-118.28203,34.07544,POINT (-118.28203 34.07544)
5589034026,06-117195,CONCORD APARTMENTS (GRP. A & B) (SITE 4),In-Service,REHAB,"1801 N ALEXANDRIA AVE  Los Angeles, CA 90027",4,4,LOS FELIZ,20,232,FAMILY,No,0,07/31/2006,0,7334438,8579256,15913694,2008,"1755 EFM 2, LLC","ALPHA PROPERTY MANAGEMENT, INC.",(323) 231-4174,click here (http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png),,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=06-117195&LutSiteCD=4),,2024-08-05T00:00:00.000,-118.29852,34.1036,POINT (-118.29852 34.1036)
2210020003,09-117301,MONTECITO TERRACES,In-Service,ACQUISITION + NEW CONSTRUCTION,"14653 W BLYTHE ST  VAN NUYS, CA 91402",6,1,PANORAMA CITY,98,98,SENIORS,Yes,6,02/02/2010,3035582,21684852,0,24720434,2011,AMCAL Montecito Terraces Fund L.P.,THE JOHN STEWART COMPANY,(213) 787-2700,click here (http://hcidapp.lacity.org/mpphotos/09-117301/Photo/Website/Montecito__14655_Blythe.png),212,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=09-117301&LutSiteCD=1),"C-116756,C-116757",2024-08-05T00:00:00.000,-118.45271,34.21532,POINT (-118.45271 34.21532)
5123011023,06-117222,WINDWARD APTS (A/B) (SITE 10),In-Service,REHAB,"710 W 30TH ST  Los Angeles, CA 90007",9,10,UNIVERSITY PARK,15,232,FAMILY,No,0,04/01/2006,0,7438473,4641342,12079815,2007,1755 EFM 2,"ALPHA PROPERTY MANAGEMENT, INC.",(323) 231-4174,click here (http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png),,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=06-117222&LutSiteCD=10),,2024-08-05T00:00:00.000,-118.2802,34.02589,POINT (-118.2802 34.02589)
5501001800,19-125944,ROUSSEAU RESIDENCES,Development,NEW CONSTRUCTION,"316 N JUANITA AVE  Los Angeles, CA 90004",13,1,SILVERLAKE,52,52,SPECIAL NEEDS,Yes,51,02/10/2022,4058000,23446200,0,27504200,Development,Flexible PSH Solutions,JOHN STEWART,N/A,click here (http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png),368,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=19-125944&LutSiteCD=1),C-139885,2024-08-05T00:00:00.000,-118.28931,34.07754,POINT (-118.28931 34.07754)
5131006005,14-121613,WASHINGTON 722 TOD,In-Service,NEW CONSTRUCTION,"722 E WASHINGTON BLVD  Los Angeles, CA 90011",9,1,WHOLESALE DISTRICT,55,55,FAMILY,No,0,03/18/2015,2280000,23788431,0,26068431,2016,Meta Housing Corporation,"SOLARI ENTERPRISES, INC.",(714) 282-2520,click here (http://hcidapp.lacity.org/mpphotos/14-121613/Photo/Website/P9080222.png),198,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=14-121613&LutSiteCD=1),C-125412,2024-08-05T00:00:00.000,-118.25684,34.02712,POINT (-118.25684 34.02712)
5156016002,22-129466,ALVARADO & TEMPLE APARTMENTS,Development,ACQUISITION + REHAB,"2812 W TEMPLE ST  LOS ANGELES, CA 90026",13,1,HISTORIC FILIPINOTOWN,42,69,AT-RISK,Yes,41,12/27/2023,17455368.95,13100000,0,30555368.95,Development,Brilliant Corners,N/A,N/A,click here (http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png),,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=22-129466&LutSiteCD=1),C-144795,2024-08-05T00:00:00.000,-118.27828,34.07377,POINT (-118.27828 34.07377)
6022009004,05-117217,LEXINGTON APARTMENTS A/B (SITE 7),In-Service,REHAB,"7219 S SAN PEDRO ST  Los Angeles, CA 90003",9,7,FLORENCE-FIRESTONE,0,251,FAMILY,No,0,12/28/2005,0,6771719,10247566,17019285,2006,"1755 EFM 2, LLC","ALPHA PROPERTY MANAGEMENT, INC.",(323) 231-4174,click here (http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png),,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=05-117217&LutSiteCD=7),,2024-08-05T00:00:00.000,-118.26973,33.97405,POINT (-118.26973 33.97405)
5005030026,14-121638,MIRAGE TOWN HOMES,In-Service,NEW CONSTRUCTION,"5221 S WESTERN AVE  Los Angeles, CA 90062",8,1,WEST VERNON,21,21,FAMILY,No,0,03/01/2016,0,7064953,0,7064953,2017,Leela Enterprises,BUCKINGHAM PROPERTY MANAGEMENT,(559) 452-8250,click here (http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png),57,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=14-121638&LutSiteCD=1),,2024-08-05T00:00:00.000,-118.30909,33.9944,POINT (-118.30909 33.9944)
6046021917,18-125460,JORDAN DOWNS PHASE S3,In-Service,NEW CONSTRUCTION,"2101 E 101ST ST  Los Angeles, CA 90002",15,1,WATTS,92,92,FAMILY,No,0,03/23/2020,0,60686295,0,60686295,2022,"The Michaels Development Company I, L.P.",INTERSTATE REALTY MANAGEMENT COMPANY,(916) 883-1100,click here (http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png),,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=18-125460&LutSiteCD=1),,2024-08-05T00:00:00.000,-118.23227,33.94415,POINT (-118.23227 33.94415)
5072036002,60064,SECOND AVENUE APARTMENTS,In-Service,REHAB,"1309 S 2ND AVE  Los Angeles, CA 90019",10,1,VICTORIA PARK,20,20,SENIORS,No,0,01/23/2007,350829,3049057,0,3399886,2007,"SECOND AVENUE PRESERVATION, L.P.",PRESERVATION PARTNERS MANAGEMENT GROUP,(310) 802-6673,click here (http://hcidapp.lacity.org/mpphotos/060064/Photo/Website/Second%20Avenue%20-%20060064.jpg),14,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=060064&LutSiteCD=1),C-111219,2024-08-05T00:00:00.000,-118.31909,34.04683,POINT (-118.31909 34.04683)
5050001027,15-122550,CRENSHAW VILLAS,In-Service,NEW CONSTRUCTION,"2631 1/2 S CRENSHAW BLVD  Los Angeles, CA 90016",10,1,CRENSHAW DISTRICT,50,50,SENIORS,No,0,11/30/2016,5017000,21631015,0,26648015,2018,"American Communities, LLC",THE JOHN STEWART COMPANY,(213) 833-1860,click here (http://hcidapp.lacity.org/mpphotos/15-122550/Photo/Website/Crenshaw%20Villas.JPG),204,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=15-122550&LutSiteCD=1),"C-126985,C-128619",2024-08-05T00:00:00.000,-118.33538,34.03151,POINT (-118.33538 34.03151)
5078026028,11-118571,LA PRO II (SITE 2),In-Service,N/A,"1100 S BERENDO ST  Los Angeles, CA 90006",1,2,KOREATOWN,0,123,N/A,No,0,03/21/2012,2000000,31674331,0,33674331,2013,LA Pro II Preservation Limited Partnership,PRESERVATION PARTNERS MANAGEMENT GROUP,(310) 802-6671,click here (http://hcidapp.lacity.org/mpphotos/11-118571/Photo/Website%20Site2/la%20pro%20ii%2011-118571d.JPG),208,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=11-118571&LutSiteCD=2),C-120242,2024-08-05T00:00:00.000,-118.29357,34.05071,POINT (-118.29357 34.05071)
2654002169,40071,WOODLAND TERRACE,In-Service,NEW CONSTRUCTION,"15532 W NORDHOFF ST  North Hills, CA 91343",7,1,NORTH HILLS,31,31,SPECIAL NEEDS,Yes,30,01/31/2006,1758184,10482585,0,12240769,2007,"A COMMUNITY OF FRIENDS,","BARKER MANAGEMENT, INC.",(213) 725-2897,click here (http://hcidapp.lacity.org/mpphotos/040071/Photo/Website/CD%207%20-%20Woodland%20Terrace.JPG),80,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=040071&LutSiteCD=1),C-109478,2024-08-05T00:00:00.000,-118.4709,34.23538,POINT (-118.4709 34.23538)
5426016003,80057,VENDOME PALMS,In-Service,REHAB,"975 N VENDOME ST 1-36  Los Angeles, CA 90026",13,1,TEMPLE-BEAUDRY,36,36,SPECIAL NEEDS,Yes,35,09/07/2010,2832750,11031113,0,13863863,2011,"A COMMUNITY OF FRIENDS,",BARKER MANAGEMENT INCORPORATED,(213) 822-6662,click here (http://hcidapp.lacity.org/mpphotos/080057/Photo/Website/Vendome-Palms_overs-639x312.png),75,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=080057&LutSiteCD=1),C-117828,2024-08-05T00:00:00.000,-118.27465,34.08417,POINT (-118.27465 34.08417)
5148019011,12-118778,NEW PERSHING APARTMENTS,In-Service,REHAB,"108 E 5TH ST 1-69  Los Angeles, CA 90013",14,1,DOWNTOWN,69,69,SPECIAL NEEDS,Yes,67,04/02/2013,3500000,28113821,0,31613821,2015,Skid Row Housing Trust,SRHT PROPERTY MANAGEMENT COMPANY,(213) 683-0522,click here (http://hcidapp.lacity.org/mpphotos/12-118778/Photo/Website/12-118778.jpg),264,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=12-118778&LutSiteCD=1),C-121978,2024-08-05T00:00:00.000,-118.2484,34.04636,POINT (-118.2484 34.04636)
6046019903,18-124880,JORDAN DOWNS AREA H (PH 2B),In-Service,NEW CONSTRUCTION,"2062 E 99TH PL  Los Angeles, CA 90002",15,1,WATTS,80,80,FAMILY,No,0,01/09/2020,0,43068874,0,43068874,2022,BRIDGE Housing Corporation,INTERSTATE REALTY MANAGEMENT,(209) 334-6565,click here (http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png),,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=18-124880&LutSiteCD=1),,2024-08-05T00:00:00.000,-118.23657,33.94759,POINT (-118.23657 33.94759)
5534009030,60005,BRONSON COURTS,In-Service,NEW CONSTRUCTION,"1229 N BRONSON AVE 1-32  HOLLYWOOD, CA 90038",13,1,HOLLYWOOD,32,32,FAMILY,No,0,11/26/2006,2240000,11494453,0,13734453,2008,"LOS ANGELES HOUSING PARTNERSHIP,",BARKER MANAGEMENT INC,N/A,click here (http://hcidapp.lacity.org/mpphotos/060005/Photo/Website/CD%2013%20-%20Bronson%20Court.jpg),86,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=060005&LutSiteCD=1),C-110877,2024-08-05T00:00:00.000,-118.3181,34.09375,POINT (-118.3181 34.09375)
5041023022,15-122549,METRO AT WESTERN,In-Service,NEW CONSTRUCTION,"3651 S WESTERN AVE  Los Angeles, CA 90018",8,1,EXPOSITION PARK,33,33,SPECIAL NEEDS,Yes,16,12/01/2017,0,20370076,0,20370076,2019,Meta Housing Corporation,SOLARI ENTERPRISES INC.,(714) 282-2520,click here (http://hcidapp.lacity.org/mpphotos/15-122549/Photo/Website/P8210493.JPG),129,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=15-122549&LutSiteCD=1),,2024-08-05T00:00:00.000,-118.30928,34.0217,POINT (-118.30928 34.0217)
5119002017,05-117217,LEXINGTON APARTMENTS A/B (SITE 12),In-Service,REHAB,"1386 E 20TH ST  Los Angeles, CA 90011",9,12,CENTRAL,0,251,FAMILY,No,0,12/28/2005,0,6771719,10247566,17019285,2006,"1755 EFM 2, LLC","ALPHA PROPERTY MANAGEMENT, INC.",(323) 231-4174,click here (http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png),,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=05-117217&LutSiteCD=12),,2024-08-05T00:00:00.000,-118.24932,34.02176,POINT (-118.24932 34.02176)
5141024013,60006,CARONDELET COURT APT HOMES,In-Service,NEW CONSTRUCTION,"816 S CARONDELET ST 1-33  Los Angeles, CA 90057",1,1,WESTLAKE,33,33,FAMILY,No,0,11/15/2006,2587880,10716545,0,13304425,2009,"AMERICAN COMMUNITIES, LLC",THE JOHN STEWART COMPANY,(213) 384-3118,click here (http://hcidapp.lacity.org/mpphotos/060006/Photo/Website/CD%201%20-%20Carondelet%20Court.JPG),78,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=060006&LutSiteCD=1),C-110874,2024-08-05T00:00:00.000,-118.28229,34.05618,POINT (-118.28229 34.05618)
5020032019,16-123080,WEST A HOMES (RECAP) (SITE 2),In-Service,ACQUISITION + REHAB,"4100 S VERMONT AVE  LOS ANGELES, CA 90037",9,2,WEST VERNON,20,44,FAMILY,No,0,12/22/2016,499060,4809923,5000000,10308983,1999,"Valued Housing II, LLC",BARKER MANAGEMENT,(714) 533-3450,click here (http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png),,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=16-123080&LutSiteCD=2),C-96317,2024-08-05T00:00:00.000,-118.29137,34.00892,POINT (-118.29137 34.00892)
5050011006,06-117222,WINDWARD APTS (A/B) (SITE 5),In-Service,REHAB,"2815 S WEST BLVD  Los Angeles, CA 90016",10,5,CRENSHAW DISTRICT,8,232,FAMILY,No,0,04/01/2006,0,7438473,4641342,12079815,2007,1755 EFM 2,"ALPHA PROPERTY MANAGEMENT, INC.",(323) 231-4174,click here (http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png),,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=06-117222&LutSiteCD=5),,2024-08-05T00:00:00.000,-118.34182,34.03056,POINT (-118.34182 34.03056)
5456012904,09-117384,GLASSELL PARK COMMUNITY HSG/AKA RIO VISTA APT,In-Service,NEW CONSTRUCTION,"3000 N VERDUGO ROAD 1-50  Los Angeles, CA 90065",1,1,GLASSELL PARK,50,50,FAMILY,No,0,04/23/2010,2640475,26061533,0,28702008,2011,"Abode Communities / fka LA COMMUNITY DESIGN CENTER,",ABODE COMMUNITIES (FORMERLY LACDC),(213) 225-2778,click here (http://hcidapp.lacity.org/mpphotos/09-117384/Photo/Website/glassellpark1912_007-.png),260,click here (http://hcidapp.lacity.org/ahtfReportViewer/mpreport.aspx?Project_Number=09-117384&LutSiteCD=1),C-117189,2024-08-05T00:00:00.000,-118.23757,34.10548,POINT (-118.23757 34.10548)
